country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
"Congo, Rep.",COG,CAPHE,0.259999990463257,0.159999996423721,0.180000007152557,0.0799999982118607,NULL
Cote d'Ivoire,CIV,CAPHE,0.379999995231628,0.400000005960464,0.280000001192093,0.430000007152557,NULL
Djibouti,DJI,CAPHE,NULL,NULL,NULL,NULL,NULL
"Egypt, Arab Rep.",EGY,CAPHE,NULL,NULL,NULL,NULL,NULL
Equatorial Guinea,GNQ,CAPHE,0.419999986886978,0.259999990463257,0.170000001788139,0.0799999982118607,0.0700000002980232
Eritrea,ERI,CAPHE,NULL,NULL,NULL,NULL,NULL
Ethiopia,ETH,CAPHE,NULL,NULL,0.330000013113022,NULL,NULL
Gabon,GAB,CAPHE,0.569999992847443,0.159999996423721,0.129999995231628,0.349999994039536,0.189999997615814
"Gambia, The",GMB,CAPHE,0.150000005960464,0.0900000035762787,0.230000004172325,NULL,NULL
Ghana,GHA,CAPHE,0.0399999991059303,0.170000001788139,0.0299999993294477,NULL,NULL
Guinea,GIN,CAPHE,0.540000021457672,0.389999985694885,0.280000001192093,0.239999994635582,0.180000007152557
Guinea-Bissau,GNB,CAPHE,0.0900000035762787,0.0799999982118607,0.180000007152557,NULL,NULL
Kenya,KEN,CAPHE,NULL,0.28999999165535,0.589999973773956,0.550000011920929,0.519999980926514
Lesotho,LSO,CAPHE,0.769999980926514,0.119999997317791,0.259999990463257,NULL,NULL
Liberia,LBR,CAPHE,NULL,0.25,0.00999999977648258,NULL,0.270000010728836
Libya,LBY,CAPHE,NULL,NULL,NULL,NULL,NULL
Madagascar,MDG,CAPHE,NULL,NULL,NULL,NULL,NULL
Malawi,MWI,CAPHE,0.300000011920929,0.340000003576279,0.519999980926514,0.600000023841858,NULL
Mali,MLI,CAPHE,0.25,0.300000011920929,0.189999997615814,0.0399999991059303,NULL
Mauritius,MUS,CAPHE,NULL,0.109999999403954,NULL,NULL,NULL
Mauritania,MRT,CAPHE,0.519999980926514,2.44000005722046,0.330000013113022,NULL,NULL
Morocco,MAR,CAPHE,0.159999996423721,NULL,NULL,0.159999996423721,NULL
Mozambique,MOZ,CAPHE,0.519999980926514,NULL,NULL,NULL,NULL
Namibia,NAM,CAPHE,0.419999986886978,0.400000005960464,0.28999999165535,NULL,NULL
Niger,NER,CAPHE,0.400000005960464,0.28999999165535,0.239999994635582,0.340000003576279,0.529999971389771
Nigeria,NGA,CAPHE,0.0399999991059303,0.189999997615814,0.129999995231628,0.270000010728836,0.140000000596046
Rwanda,RWA,CAPHE,NULL,NULL,NULL,NULL,NULL
Sao Tome and Principe,STP,CAPHE,0.219999998807907,0.449999988079071,0.620000004768372,NULL,NULL
Senegal,SEN,CAPHE,0.330000013113022,0.300000011920929,NULL,NULL,NULL
Seychelles,SYC,CAPHE,0.119999997317791,0.209999993443489,2.73000001907349,NULL,NULL
Sierra Leone,SLE,CAPHE,NULL,NULL,0.230000004172325,0.680000007152557,NULL
Somalia,SOM,CAPHE,NULL,NULL,NULL,NULL,NULL
South Africa,ZAF,CAPHE,0.239999994635582,0.219999998807907,NULL,NULL,NULL
South Sudan,SSD,CAPHE,NULL,NULL,0.439999997615814,NULL,NULL
Sudan,SDN,CAPHE,NULL,NULL,NULL,0.170000001788139,NULL
Eswatini,SWZ,CAPHE,NULL,NULL,0.560000002384186,NULL,NULL
Tanzania,TZA,CAPHE,0.0399999991059303,0.0599999986588955,NULL,NULL,NULL
Togo,TGO,CAPHE,0.0900000035762787,0.0700000002980232,0.389999985694885,0.469999998807907,0.370000004768372
